Palabra (concepto),Descripción,Codificación
Amenaza,juego mental,juego mental
Honestidad,,verdad
Honestidad,pienso,decir
Honestidad,consecuente,consecuencias
Honestidad,distorcionar realidad,no distorsión
Honestidad,omitir detalles,no omitir
Honestidad,persona,bien
Honestidad,transparencia,transparencia
Honestidad,forma,ser
Honestidad,concepto diametralmente contrario mentira,no mentir
Éxito,,bien
Éxito,llegar meta,meta
Éxito,ganar,ganar
Éxito,sortear obstaculo,sortear
Obligación,deber,deber
Obligación,responsabilidades tipo,responsabilidad
Obligación,personas,humano
Obligación,dependiento grado concepto tengas importancia,grado
Acuerdo,trato,trato
Acuerdo,pacto,pacto
Acuerdo,llegar punto comun,común
Acuerdo,entendimiento,entendimiento
Acuerdo,paises materia relaciones,países
Acuerdo,personas negocios,negocios
Acuerdo,relaciones basicas seres humanos,relación
Acuerdo,entendimiento necesarios,entendimiento
Compasión,pena,pena
Compasión,ponerse lugar,empatía
Compasión,empatia,empatía
Compasión,sentimiento,sentimiento
Compasión,pasa rabia sentimiento,post rabia
Compasión,gente siente gente pobre,pobreza
Compasión,mayoria personas sentido,muchos
Compasión,acogimiento,acogedor
Compasión,tristeza,tristeza
Honestidad,transparente persona,transparencia
Honestidad,contar,verdad
Honestidad,distorsionar realidad,no distorsión
Honestidad,asumir presente,aceptación
Honestidad,evitar mentira,no mentir
Honestidad,frente alto,frente en alto
Honestidad,,verdad
Honestidad,hechos,hechos
Ganancia ,utilidad,utilidad
Ganancia ,riqueza obtenida,riqueza
Ganancia ,liquido,líquido
Ganancia ,obtiene experiencia,optención
Ganancia ,ingreso,ingreso
Ganancia ,saque negocio,negocios
Ganancia ,corte personal,personal
Ganancia ,resultado,resultado final
Desesperación,espada pared,sin salida
Desesperación,nerviosismo,nerviosismo
Desesperación,angustia,angustia
Desesperación,intranquilidad,intranquilidad
Desesperación,negarse encontrar paz,intranquilidad
Desesperación,error frente problema,error
Desesperación,corriendo tiempo,correr
Desesperación,mental nervioso,nerviosismo
Desesperación,evitar calma,inquietud
Esperanza,fe,fe
Esperanza,creer benevolo suceder,creencia
Esperanza,esperar resulte,esperar
Esperanza,fe,fe
Esperanza,creer,creencia
Esperanza,asumir,aceptación
Esperanza,salto ciegas,a ciegas
Esperanza,sentir,sentir
Esperanza,experimentado,todos
Esperanza,sentimiento,sentimiento
Acuerdo,trato,trato
Acuerdo,terminos aprovados,aprobación
Acuerdo,aprovacion,aprobación
Acuerdo,punto vista frente,punto de vista
Acuerdo,ok,ok
Acuerdo,confirmacion,confirmación
Acuerdo,ractificar idea,ratificación
Pensamiento,profundidad,profundidad
Pensamiento,idea,idea
Pensamiento,filosofia,filosofía
Pensamiento,expresa distinta forma,expresión
Pensamiento,amplio,amplio
Pensamiento,constructivo,constructivo
Pensamiento,deja ejecutarse,no terminan
Pensamiento,pertenece plano fisico,no físico
Pensamiento,imposible expresar totalidad,inexpresable
Ganancia ,logro adquirido,logro
Ganancia ,resultado,bien
Ganancia ,llena felicidad,felicidad
Ganancia ,quieren lograr,logro
Ganancia ,objetivo personas,objetivos
Ganancia ,odiado,odiado por pocos
Ganancia ,victoria,victoria
Ganancia ,ganar,ganar
Verdad,honestidad,honestidad
Verdad,camino correcto,correcto
Verdad,transparencia,transparencia
Verdad,sinceridad,sinceridad
Verdad,arma poderosa,arma
Verdad,justicia,justicia
Verdad,hablar tranquilidad,tranquilidad
Verdad,consiencia limpia,conciencia
Verdad,caer mentira,no mentir
Oportunidad,encontrar camino,camino
Oportunidad,solucion,solución
Oportunidad,posibilidad,posibilidad
Oportunidad,momento esperado,momento
Oportunidad,constante busqueda,búsqueda
Oportunidad,solucion esperando tomada,solución
Oportunidad,toman dejan,tomar/dejar
Oportunidad,aparecen distintas situaciones,distintos
Oportunidad,gente deja pasar,dejar pasar
Oportunidad,traer malas consecuencias,consecuencias
Plan,estrategia,estrategia
Plan,modus operandi,modus
Plan,forma actuar pensada,acción
Plan,organización,organización
Plan,efectuan partido,deporte
Plan,idear forma lograr,idea
Plan,necesarios alcanzar objetivo,objetivos
Plan,especificos distintas tareas,tareas
Plan,compartirse situaciones contexto,compartir
Destreza,virtud,virtud
Destreza,relaciona,bien
Destreza,habilidad,habilidades
Acuerdo,trato,trato
Acuerdo,tratado,tratado
Acuerdo,pacto,pacto
Acuerdo,llega 2 firman convenio,convenio
Acuerdo,crees interlocutor correcto,confianza
Acuerdo,chile países limitan,países
Verdad,honestidad,honestidad
Verdad,contrario mentira,no mentir
Verdad,clave relación amistad pareja,relación
Verdad,pinoccio tenia decirla crezca nariz,Pinoccio
Razón,división,división
Razón,correcto,correcto
Obsesión,compulsivamente trastorno mental,trastorno
Obsesión,loco,locura
Obsesión,nombre galletas forma tubo rellenas chocolate,galletas
Obsesión,,mal
Obsesión,dañino,daño
Peligro,accidente ponen cintas seguridad palabra,cintas de seguridad
Peligro,cuidado,cuidado
Peligro,carteles palabra avisan malo suceder,advertencia
Seguridad,cree correcto,correcto
Seguridad,guardias,guardias
Seguridad,preservativo,preservativo
Seguridad,dispositivo electronico contraseña,contraseña
Seguridad,guadaespalda,guardaespalda
Seguridad,anticonceptivo,anticonceptivo
Seguridad,barrios marginales,no marginal
Seguridad,presidente ee.uu,presidente USA
Agradecimiento,gracias,gratitud
Agradecimiento,alguien favor ayudó,favor
Agradecimiento,gratitud,gratitud
Agradecimiento,das obsequio devolución favor,regalo
Ganancia ,utilidad,utilidad
Ganancia ,recibir dinero invirtió,dinero
Ganancia ,saldo positivo,positivo
Ganancia ,ganar,ganar
Ganancia ,dinero,dinero
Ganancia ,plata,dinero
Ganancia ,factible,factible
Ganancia ,contrario pérdida,no perdida
Ganancia ,recibe proyecto,bien
Ganancia ,rinde,rendimiento
Felicidad,contento,alegría
Felicidad,chile gana futbol,Deporte
Felicidad,contrario tristeza,no tristeza
Felicidad,alegría,alegría
Felicidad,producto mc'donalds referencia concepto,marca
Felicidad,sienten padres hijo,familia
Felicidad,sonrisa,sonrisa
Felicidad,risas,risa
Felicidad,dicha,dicha
Pensamiento,ocupa cerebro,cerebro
Pensamiento,tipo corriente,corriente
Pensamiento,miles,muchos
Pensamiento,personales saberlos expreses,personal
Pensamiento,lugar ideas,idea
Amenaza,peligroso,peligro
Amenaza,riesgo,riesgo
Obligación,cumplir,compromiso
Obligación,toma deber,deber
Obligación,países votar,votar
Ganancia ,obtiene restar ingresos costos,ingreso
Ganancia ,positivo experiencia,positivo
Culpa,siente perjudicial arrepentido,arrepentimiento
Culpa,sentimiento angustia perjudicar,angustia
Oportunidad,tipo costo economía,costo
Oportunidad,elección generar beneficio,elección
Oportunidad,gente estrato social afortunados,estrato social
Definición,explicación palabra,explicación
Definición,encuentran diccionarios,diccionario
Seguridad,siente protegido,protección
Seguridad,guardias,guardias
Seguridad,nivel pirámide maslow,Maslow
Acuerdo,llega términos aceptables persona tema,aceptación
Acuerdo,tipo pacto,pacto
Destreza,habilidad fisica mental,habilidades
Destreza,juego mesa nombre,juego de mesa
Destreza,necesitan deportistas,deporte
Obligación,alguien haga,hacer
Obligación,colegio,colegio
Obligación,debes,hacer
Obligación,deber,deber
Obligación,tienes responsabilidades,responsabilidad
Destreza,habilidad,habilidades
Destreza,,bien
Destreza,cualidad positiva,positivo
Destreza,contrario actividad,bien
Destreza,característica persona mostrar realizando operación,características
Oportunidad,chance,chance
Oportunidad,posibilidad,posibilidad
Oportunidad,permitan quieres,permitir
Oportunidad,hiciste dejan intentarlo denuevo,reintento
Oportunidad,lograr,posibilidad
Oportunidad,contrario dejan intentarlo denuevo,no nuevos intentos
Oportunidad,aprovechas,aprovechar
Desesperación,paciencia,impaciencia
Desesperación,,no acción
Desesperación,encontrarse situación mala perder control,descontrol
Desesperación,comenzar cosas lógicas logra,no lógica
Desesperación,actitud toma frente situaciones estresantes,estrés
Desesperación,encerrado lugar pequeño pones,fobia
Desesperación,pides ayuda alguien pensaste acudirías,ayuda
Desesperación,cosas pensaste harías situaciones normales,anormal
Felicidad,pleno,plenitud
Felicidad,sentirse entorno,bien
Felicidad,aceptar rodea,aceptación
Felicidad,aprender valorar cosa,valor
Felicidad,sentirse alegre,alegría
Felicidad,sentirse contento,alegría
Felicidad,juzgarse,no juicio
Felicidad,pasa situación añorabas tienes sentimiento positivo,positivo
Culpa,sentimiento negativo,negativo
Culpa,incorrecto quedas pensando,incorrecto
Culpa,mujer dieta come chocolate siente,comer
Culpa,pasa malo responsabilidad sientes,responsabilidad
Culpa,pasa busca cometió,responsabilidad
Ganancia ,ganas entradas dinero típicas,dinero
Ganancia ,entrada dinero extraordinaria,dinero
Ganancia ,margen positivo utilidades,utilidades
Ganancia ,contrario perdida,no perder
Ganancia ,vende precio costo original,ventas
Verdad,dices certeza,certeza
Verdad,mientes,no mentir
Verdad,hablas persona revelas tenías oculto,revelación
Verdad,buscan creyentes cinetificos creación universo,búsqueda
Verdad,alguien,cierto
Peligro,,mal
Peligro,pasar malo,mal
Peligro,situacion riesgosa,riesgo
Peligro,incendio encuentras,incendio
Peligro,temes vida,temor
Peligro,encuentras animal feroz,animales
Agradecimiento,alguien amable,amabilidad
Agradecimiento,das gracias persona,gratitud
Agradecimiento,acción favor persona ayudo,favor
Agradecimiento,sentirse feliz ayuda alguien hacerelo notar,felicidad
Destreza,habilidad,habilidades
Destreza,maestría,maestría
Acuerdo,pacto,pacto
Acuerdo,conciliación,conciliación 
Acuerdo,trato,trato
Seguridad,confianza,confianza
Seguridad,control,control
Seguridad,chile,no hay en Chile
Excusa,justificación,justificación
Excusa,gente suele entregar,muchos
Excusa,pretexto,pretexto
Plan,futuro,futuro
Plan,meta,meta
Plan,buscas cumplir,búsqueda
Ganancia ,beneficio,beneficios
Ganancia ,material conocimientos,material
Ganancia ,éxito,éxito
Sugerencia ,proposición,proposición
Sugerencia ,consejo,concejo
Sugerencia ,tip,tip
Honestidad,virtud positiva,virtud
Honestidad,sinceridad,sinceridad
Honestidad,relaciona integridad,integridad
Honestidad,falta personas poderosas mundo,escasez
Honestidad,mentiras,no mentir
Oportunidad,evento puedes sacar ganancia,ganar
Oportunidad,ventana ofrecida azar,ventana
Oportunidad,posibilidad,posibilidad
Felicidad,calma,calma
Felicidad,familia,familia
Felicidad,skittles,dulces
Felicidad,vacaciones lugar soleado caluroso,vacaciones
Felicidad,personas amadas,amor
Felicidad,reír,risa
Felicidad,sensación plena satisfacción,satisfacción
Habilidad,cualidades positivas persona,cualidad
Habilidad,necesarias lograr,necesario
Habilidad,diferencia persona,personal
Habilidad,distintos tipos,distintos
Honestidad,cualidad persona,verdad
Honestidad,cualidad positiva persona,cualidad
Honestidad,,verdad
Desesperación,forma estrés,estrés
Desesperación,sufren personas cosas resultan,no éxito
Desesperación,altera personas,alteración
Definición,dicese descripción objeto concepto,descripción
Definición,encontrar diccionarios,diccionario
Decisión,eleción personta situación,elección
Decisión,malas,bien/mal
Decisión,evaluar,anticipación
Plan,esquema organizado lograr objetivo,esquema
Plan,realiza ejecutar trabajo acción,previo
Plan,realizo previmente organizando prioridades ejecutar lograr desempeño objetivo,organización
Destreza,dicese persona cualidades tema,cualidades
Destreza,persona habilidades,habilidades
Destreza,diferencia personas actividades,actividades
Destreza,persona juega futbol deportes,deporte
Excusa,decimos justificarnos accion hicimos persona,justificación
Excusa,forma salir ileso situación desfavorecería,ileso
Culpa,sentimiento negativo mala accion,negativo
Culpa,sentimiento reconocer equivocación comentarlo,reconocimiento
Culpa,persona conocimiento error afectando ente,error
Razón,capacidad organizar pensamientos críticamente,organización
Razón,animales,no animal
Razón,permite tomar desiciones correctas actuar instinto,desiciones
Esperanza,inverso media,matemáticas
Esperanza,utiliza estadística,estadística
Esperanza,emocion,emoción
Esperanza,lograr dificil lograrlo,logro
Esperanza,sirve automotivación,motivación
Esperanza,,bien
Verdad,,deber
Verdad,valor,valor
Verdad,gente confianza,confianza
Verdad,decirla juicio,juicio
Verdad,juez,justicia
Verdad,dificil decirla,dificultad
Verdad,credibilidad,credibilidad
Culpa,sentimiento,sentimiento
Culpa,come demaciado siente,comer
Culpa,delitos,delito
Culpa,pecados,pecado
Culpa,sabiendo,mal
Culpa,castigo,castigo
Culpa,juicio,juicio
Culpa,abstracto,abstracción
Culpa,depende juicio,juicio
Culpa,variable,variable
Obligación,tareas,tareas
Obligación,deberes,deber
Obligación,reuniones importantes,reunión
Obligación,reglas,reglas
Obligación,carácter,carácter
Obligación,fuerza,forzar
Obligación,debes,hacer
Obligación,evadir,evación
Acuerdo,contrato,contrato
Acuerdo,venta,ventas
Acuerdo,condiciones,condición
Acuerdo,participantes,dos o más partes
Acuerdo,establecer reglas,reglas
Acuerdo,tratado,tratado
Acuerdo,memoria,memoria
Ansiedad,estrés,estrés
Ansiedad,rapidez,rápidez
Ansiedad,ganas ocurra,ganar
Ansiedad,terminar rapido,rápidez
Ansiedad,comer rapido,comer
Ansiedad,enfermedad psicologica,enfermedad
Ansiedad,picotear comida,comer
Ansiedad,normalmente mujeres,mujeres
Honestidad,,verdad
Honestidad,confiable,confiabilidad
Honestidad,persona,bien
Honestidad,valor,valor
Honestidad,calificativo,calificativo
Honestidad,veraz,veracidad
Seguridad,empresa,empresas
Seguridad,conciertos,conciertos
Seguridad,bancos,bancos
Seguridad,confianza personal,confianza
Seguridad,camaras vigilancia,cámaras
Seguridad,certeza palabras,certeza
Seguridad,mente clara,claridad
Seguridad,policia,policias
Destreza,hablidades,habilidades
Destreza,,el mejor
Destreza,preciso,precisión
Destreza,seguro,seguridad
Destreza,rapido,rápidez
Destreza,genio,genialidad
Destreza,facilidad,facilidad
Agradecimiento,ora,oración
Agradecimiento,misa,misa
Agradecimiento,sacan problema,solución
Agradecimiento,importante decirlo,importante
Agradecimiento,valor decirlo,valor
Decisión,aceptar,aceptación
Definición,significado elemento,significado
Definición,caracateristicas tipicas elemento,características
Definición,especificar,uso
Definición,componentes,componentes
Definición,determinar objetivo elemento,determinación
Verdad,mentir,no mentir
Verdad,honestidad,honestidad
Verdad,crear falsos testimonios,no mentir
Verdad,real,real
Compasión,lastima alguien,lástima
Compasión,sentir pena accion suceso,pena
Pensamiento,accion mental,mente
Pensamiento,ideas,idea
Pensamiento,actua,hacer sin
Habilidad,capacidad persona,capacidad
Habilidad,accion,bien
Habilidad,personas,todos
Habilidad,poseen capacidades,capacidad
Acuerdo,decision personas,decisión
Acuerdo,llegar   concenso,consenso
Acuerdo,capacidad determinar idea,idea
Acuerdo,cabo idea tomo anteriormente,idea
Éxito,desea personas valla,bien
Éxito,personas vida llena logros,logro
Éxito,lograr objetivo,logro
Éxito,forma medida logro,logro
Sugerencia ,concejo,concejo
Sugerencia ,personas ayudar decisiones,ayuda
Sugerencia ,motivos cambiar ratificar decision,motivación
Plan,sucesivo acciones,acción
Plan,personas poseen organizar vida,organización
Definición,significado palabra concepto,significado
Definición,lleno diccionarios,diccionario
Definición,palabra concepto,palabra
Excusa,mentira,mentira
Excusa,utilizamos evadir,evación
Peligro,alejamos normalmente,alejamiento
Culpa,sentimos malo alguien,mal
Culpa,,mal
Desesperación,sentimos respirar,ahogamiento
Felicidad,alegria,alegría
Felicidad,arcoiris,arcoiris
Felicidad,risa,risa
Verdad,innegable,innegable
Agradecimiento,sientes alguien,bien
Obligación,debemos,deber
Obligación,adultos niños,adultez
Obligación,tarea,tareas
Razón,,correcto
Razón,persona correcto,correcto
Razón,sustrato biológico cerebro,cerebro
Razón,concebido humano,verdad
Razón,acción acontecimiento,causa
Razón,mente,mente
Ansiedad,impulso,impulso
Ansiedad,deseo incontrolable frente acontecimiento evento,descontrol
Ansiedad,desesperación,desesperación
Ansiedad,produce efectos movimientos físicos involuntarios,cambio corporal
Ansiedad,novios boda presentan,boda
Ansiedad,generar acné tensión muscular tics nerviosos,cambio corporal
Ansiedad,suele ocurrir previo importante,anticipación
Habilidad,capacidad,capacidad
Habilidad,destreza disciplina,destreza
Habilidad,facil,facilidad
Habilidad,esoecial característico,características
Habilidad,característica positiva destaca área,características
Habilidad,virtudes,virtud
Habilidad,capacidades desarrollo artes manuales,capacidad
Obsesión,preocupación extrema,preocupación
Obsesión,causa preocupación posee,preocupación
Obsesión,permite apartar pensamiento alguien,no peligro
Esperanza,pensar positivo pensando ocurrira,pensamiento
Esperanza,creyentes dios,Dios
Esperanza,sucederá,saber
Esperanza,confianza hará correcto,confianza
Esperanza,personas positivas,positivo
Seguridad,otorga tranquilidad hogar,tranquilidad
Seguridad,padres otorgan hijos protección,padres
Seguridad,evita asaltos intranquilidad malestar daño,intranquilidad
Seguridad,certeza,certeza
Felicidad,alegría perdura,alegría
Felicidad,ánimo positivo,ánimo
Felicidad,opuesto tristeza amargura,no tristeza
Felicidad,personas positivas,positivo
Felicidad,permite disfrutar cosas vida,disfrute
Desesperación,angustia frente,angustia
Desesperación,incapacidad tranquilo,incapacidad
Desesperación,produce estrés constantemente,estrés
Verdad,certero,certeza
Verdad,concebido real,real
Destreza,habilidad realización,habilidades
Destreza,capacidad promedio gente disciplina,capacidad
Destreza,desrrollo caracteristica positiva destacar demas,características
Esperanza,fé,fe
Esperanza,positivo,positivo
Esperanza,pensar cosas,pensamiento
Esperanza,rendirse,no rendición
Esperanza,confiar,confianza
Obligación,,hacer
Obligación,,no voluntad
Éxito,resultados,bien
Éxito,lograr cien ciento,logro
Éxito,satisfecho,satisfacción
Éxito,,tener
Éxito,realización,realización
Honestidad,,verdad
Honestidad,mentir,no mentir
Honestidad,piensa,decir
Honestidad,obtener confianza,confianza
Honestidad,real,real
Habilidad,capacidad,capacidad
Habilidad,,bien
Habilidad,persona,personal
Habilidad,abarca distintos ambitos,ambitos
Razón,,verdad
Razón,justificación,justificación
Razón,cree,cierto
Razón,pensamiento,pensamiento
Razón,creen personas,todos
Razón,contradecir,contradecir
Razón,opinión,opinión
Desesperación,perder calma,intranquilidad
Desesperación,inquieto,inquietud
Desesperación,ansioso,ansiedad
Desesperación,susto,susto
Desesperación,efecto miedo,miedo
Desesperación,impaciente,impaciencia
Desesperación,contrario pasivo,activo
Desesperación,lugar,fuera de lugar
Desesperación,perder control,incontrolable
Desesperación,pensamientos malos,pensamiento
Agradecimiento,gracias,gratitud
Agradecimiento,feliz recibe,felicidad
Agradecimiento,respetuoso,respeto
Agradecimiento,dá persona,bien
Agradecimiento,satisfecho,satisfacción
Agradecimiento,pide cambio,no pedido
Peligro,malo,mal
Peligro,cuidado,cuidado
Peligro,advertencia,advertencia
Peligro,ocurrir situación futuro,futuro
Peligro,desastre,cuidado
Peligro,prevenir,prevención
Pensamiento,opinión,opinión
Pensamiento,mente,mente
Pensamiento,personas,lenguaje
Pensamiento,malos,bien/mal
Pensamiento,resto,diferentes
Pensamiento,dá,día a día
Pensamiento,creencia,creencia
Peligro,peligro,peligro
Peligro,auxilio,auxilio
Peligro,pasando,actual
Peligro,sucede,suceso
Peligro,alerta,alerta
Peligro,bomba,bomba
Peligro,terrorismo,terrorismo
Peligro,seguridad,seguridad
Peligro,vida personas,vida
Amenaza,peligro,peligro
Amenaza,auxilio,auxilio
Amenaza,pasando,actual
Amenaza,sucede,real
Amenaza,alerta,alerta
Amenaza,bomba,bomba
Amenaza,terrorismo,terrorismo
Amenaza,ataque,ataque
Amenaza,seguridad,seguridad
Amenaza,vida personas,vida
Destreza,habilidad,habilidades
Destreza,leonel messi,deporte
Destreza,rapidez,rápidez
Destreza,fisico,físico
Destreza,pensamiento rapido,rápidez
Destreza,habilidad correr,habilidades
Destreza,don,don
Destreza,destreza,destreza
Destreza,aptitud,aptitud
Destreza,genio,genialidad
Pensamiento,reflexion,reflexión
Pensamiento,inteligencia,inteligencia
Pensamiento,juicio,juicio
Pensamiento,idea,idea
Pensamiento,concepto,concepto
Pensamiento,plan,plan
Pensamiento,esperame,ejemplo
Pensamiento,dejame tiempo,insomnio
Seguridad,robos,no delincuencia
Seguridad,certeza,certeza
Seguridad,confianza,confianza
Seguridad,convencido,convencimiento
Seguridad,evidencia,evidencia
Seguridad,consentimiento,consentimiento
Seguridad,siento protegido,protección
Seguridad,carabineros,policias
Seguridad,pdi,policias
Agradecimiento,reconocimiento,reconocimiento
Agradecimiento,dios bendiga,Dios
Agradecimiento,satisfaccion,satisfacción
Agradecimiento,premio,premio
Agradecimiento,complacerse,complacencia
Agradecimiento,gracias favor,gratitud
Agradecimiento,retribucion,retribución
Peligro,inseguridad,inseguridad
Peligro,ataque,ataque
Peligro,bomba,bomba
Peligro,choque,choque
Peligro,velocidad excesiva,velocidad
Peligro,amenaza,amenaza
Peligro,exposicion,exposición
Peligro,accidente,accidente
Peligro,mala nota,mal
Esperanza,probablidad,probabilidad
Esperanza,estadística,estadística
Esperanza,analisis numerico,análisisnumerico
Esperanza,años vida,vida
Esperanza,calidad vida,vida
Esperanza,confianza,confianza
Esperanza,seguridad,seguridad
Esperanza,certidumbre,certidumbre
Esperanza,ilusión,ilusión
Plan,proyecto,proyecto
Plan,proposito,propósito
Plan,intencion,intención
Plan,prototipo,prototipo
Plan,arduino,arduino
Plan,trabajo,trabajo
Plan,ingenieria,ingeniería
Plan,borrador,borrador
Plan,boceto,boceto
Ansiedad,codicia,codicia
Ansiedad,deseo,deseo
Ansiedad,querer,querer
Ansiedad,necesidad,necesario
Ansiedad,impulsividad,impulsividad
Ansiedad,afán,afán
Ansiedad,anhelo,anhelo
Ansiedad,angustia,angustia
Ansiedad,inquietud,inquietud
Acuerdo,totalmente,lado
Acuerdo,favor,a favor
Acuerdo,convenio,convenio
Acuerdo,pacto,pacto
Acuerdo,estrategia,estrategia
Acuerdo,mercado,mercado
Acuerdo,tratado,tratado
Acuerdo,transacción,transacción
Acuerdo,decision,decisión
Honestidad,veracidad,veracidad
Honestidad,,verdad
Honestidad,mentiroso,no mentir
Culpa,sentir responsable ocurrido,responsabilidad
Culpa,experimentar remordimiento,remordimiento
Culpa,sientes hieres alguien,herir
Definición,significado palabra,significado
Definición,forma das entender concepto,entendimiento
Definición,características ayudan comprender palabra,caracterización
Peligro,estuvieras incendio,incendio
Sugerencia ,recomendación,recomendación
Sugerencia ,forma aconsejar alguien lleve cabo,consejo
Desesperación,sienten personas lidiando fobia,fobia
Desesperación,sentirías estuvieras sumergido agua salir,ahogamiento
Desesperación,sentirías dejaran respirar,ahogamiento
Oportunidad,chance,chance
Oportunidad,momento exacto cabo,momento apropiado
Obligación,refiere tienes,no opción
Obligación,sientes tienes quieres,no querer
Obligación,tarea colegio universidad,deber
Obligación,padres salen tienes cuidar hermano,responsabilidad
Decisión,optas detendrá,optar
Decisión,refiere eliges carrera universitaria salir colegio,carrera
Verdad,afirmación creer real,real
Verdad,persona auténtica,autenticidad
Verdad,contrario falsedad,verdad
Oportunidad,opcion,opción
Oportunidad,presentan vida,durante la vida
Oportunidad,,no todos
Oportunidad,agradece,gratitud
Oportunidad,alguien,dadas
Oportunidad,comete error posibilidad enmendarlo,enmendar
Oportunidad,camino,camino
Oportunidad,desafio,desafío
Oportunidad,repetirlo,primera vez
Oportunidad,fortuna,fortuna
Peligro,provoca palpitaciones rapidas,palpitaciones
Peligro,consecuencias,consecuencias
Peligro,miedo,miedo
Peligro,cuidado,cuidado
Peligro,advertencia,advertencia
Peligro,pensar actuar,anticipación
Peligro,evitar,evitación
Peligro,advierte riesgos,advertencia
Peligro,advertencia,advertencia
Peligro,evita sufrimiento molestias,sufrimiento
Ganancia ,dinero,dinero
Ganancia ,fruto,fruto
Ganancia ,niño tienes,escasez en la niñes
Ganancia ,gana trabajo,trabajo
Ganancia ,capital,capital
Ganancia ,billetes,dinero
Ganancia ,satisfactorio,satisfacción
Felicidad,amor,amor
Felicidad,realizacion personal,realización
Felicidad,unobjetivo vida,objetivos
Felicidad,mision,misión
Felicidad,deseo,deseo
Felicidad,constante,breve
Felicidad,requiere esfuerzo,esfuerzo
Felicidad,depende,uno mismo
Felicidad,emocional,emoción
Felicidad,gratificante,gratificante
Razón,logica,lógica
Razón,pensamiento,pensamiento
Razón,mente crea,mente
Razón,permite críticar,permitir
Razón,permite crear argumentos,argumentación
Razón,capacidad humano,humano
Razón,especie,humano
Razón,logico critico,lógica
Razón,permite comunicación,permitir
Obligación,deber,deber
Obligación,imposicion,imposición
Obligación,accion inmediata,acción
Obligación,tiempo determinado,tiempo determinado
Obligación,decirle,no voluntad
Obligación,mama,madres
Obligación,implica responsabilidad,responsabilidad
Obligación,tarea,tareas
Obligación,secar ropa,quehaceres
Obligación,rendimiento,rendimiento
Habilidad,capacidad,capacidad
Habilidad,blandas,blandas
Habilidad,intrinsicas,intrínseco
Habilidad,puedes desarrollar,desarrollo
Habilidad,matematicas,matemáticas
Habilidad,labia,labia
Habilidad,especie don,don
Habilidad,facilitadora objetivos,facilidad
Seguridad,confort,confort
Seguridad,mama,padres
Seguridad,comodiad absoluta,comodidad
Seguridad,proteccion,protección
Seguridad,sientes lugar,lugar
Seguridad,sientes persona,persona
Seguridad,puedes,uno mismo
Seguridad,trabajar tienes,trabajable
Seguridad,construye experiencia,experiencia
Seguridad,reconfortante,real
Pensamiento,logico deductivo etc,lógica
Pensamiento,critico,crítica
Pensamiento,permite comunicación,comunicación
Pensamiento,crea opinion,opinión
Pensamiento,idea,idea
Pensamiento,representaciones mentales,mente
Pensamiento,imaginacion,imaginación
Pensamiento,positivo negativo,positivo/negativo
Pensamiento,teniendo,presente
Definición,concepto,concepto
Definición,concreto,concreto
Definición,abstracta,concreto
Definición,palabras,palabra
Definición,permite entender,entendimiento
Definición,conocimiento,conocimiento
Definición,estipuladas,estipulación
Definición,real academia española,diccionario
Definición,aveces cuesta entenderla,entendimiento
Definición,1.000.000 mundo,muchos
Obsesión,adicción,adicción
Obsesión,deseado,deseo
Obsesión,constante,constante
Obsesión,suele provocar malos resultados,mal
Obsesión,dificíl controlar,descontrol
Obsesión,genera placer desencadena,placer
Obsesión,obstinación,observación
Culpa,sensación molesta,molestia
Culpa,acción situación involucra autorresponsabilidad,responsabilidad
Culpa,malestar,malestar
Culpa,incomodidad,incomodidad
Culpa,generar ansiedad,ansiedad
Culpa,tiende sentir producir algun daño,daño
Culpa,forma remediarla arreglar motivo causante,remediar
Desesperación,sensación produce disgusto,disgusto
Desesperación,angustia,angustia
Desesperación,persona sienta nerviosa,nerviosismo
Desesperación,necesidad solución inmediata,necesario
Desesperación,limite,limitación
Desesperación,busqueda ayuda,ayuda
Ganancia ,obtiene acción,optención
Ganancia ,beneficia obtiene,beneficios
Ganancia ,material material,material
Ganancia ,recompensa,recompensa
Ganancia ,simular premio,premio
Acuerdo,personas,dos o más partes
Acuerdo,trato,trato
Acuerdo,desición,decisión
Acuerdo,partes involucradas conformes resultado,conformidad
Acuerdo,conforme,conformidad
Habilidad,destresa,destreza
Habilidad,don,don
Habilidad,talento,talento
Habilidad,persona desarrolla actividad conocimiento,bien
Habilidad,desarrollar practica,práctica
Sugerencia ,recomendación,recomendación
Sugerencia ,consejo,concejo
Sugerencia ,persona tome desición,preguntar
Sugerencia ,forma opinión,opinión
Sugerencia ,apoyo,apoyo
Sugerencia ,transmite opción considerar,transmición
Felicidad,alegria,alegría
Felicidad,  sensación placentera,placer
Felicidad,sonrisa,sonrisa
Felicidad,dicha,dicha
Felicidad,emoción,emoción
Felicidad,bienestar,bienestar
Felicidad,salud,salud
Felicidad,animo,ánimo
Felicidad,respuesta espera,respuesta
Éxito,triunfo,triunfo
Éxito,meta lograda,meta
Éxito,esforzarse alcanzarlo,esfuerzo
Éxito,produce felicidad,felicidad
Éxito,logran sienten satisfacción,satisfacción
Razón,motivo,motivación
Razón,desencadena suceda,causa
Razón,seres humanos caracterizan poseer capacidad,humano
Razón,desarrolla pensamiento,pensamiento
Acuerdo,consenso,consenso
Acuerdo,beneficia ambas partes,dos o más partes
Acuerdo,requiere compromiso ambas partes,compromiso
